,id,city_name,Humidity,Longitud,Latitud,Temperatura,Nubes,Velocidad
318,2137773,Vao,57,167.4833,-22.6667,74.93,97,19.95
319,2014624,Udachny,95,112.4,66.4167,31.17,50,8.1
320,372753,Kassala,56,36.4,15.451,82.24,87,4.16
321,3355672,Lüderitz,77,15.1594,-26.6481,54.82,0,19.66
322,1636806,Majene,68,118.9707,-3.5403,85.51,12,5.44
323,72181,Marzuq,61,46.4667,14.4,72.43,96,3.51
324,3419842,Sisimiut,79,-53.6735,66.9395,34.79,76,5.19
325,3137469,Sørland,80,12.6934,67.667,32.0,75,5.75
326,2222230,Sangmélima,99,11.9833,2.9333,67.21,96,1.03
327,679074,Dorobanţu,78,26.95,44.2167,52.0,100,1.99
328,1161724,Chabahar,60,60.643,25.2919,85.87,100,11.7
329,3402648,Carutapera,93,-46.02,-1.195,74.66,97,3.67
330,2018553,Ol'ga,50,135.2892,43.7444,51.15,100,11.65
331,904241,Mungwi,99,31.3694,-10.1732,59.45,88,3.49
332,3421719,Narsaq,81,-46.05,60.9167,37.4,75,4.5
333,2359608,Kaya,34,-1.0844,13.0917,87.21,5,7.27
334,1801850,Luorong,54,109.6086,24.4058,80.56,89,4.88
335,1244926,Hambantota,70,81.1185,6.1241,84.38,76,6.13
336,2156927,Moree,31,149.85,-29.4667,77.0,25,8.05
337,2701713,Karlskrona,87,15.5866,56.1616,39.2,90,16.11
338,3435038,Dolores,83,-57.6792,-36.3132,53.47,0,7.7
339,3868308,Vicuña,88,-70.7081,-30.0319,55.4,90,2.3
340,3883457,Lebu,94,-73.65,-37.6167,55.09,100,8.59
341,3105522,Bereda,100,-7.5406,43.2686,40.89,85,1.01
342,145724,Lucapa,97,20.7447,-8.4192,65.73,97,1.59
343,3984997,San Quintín,79,-115.95,30.4833,62.58,0,5.57
344,1128239,Rūdbār,18,62.6,30.15,88.29,27,7.2
345,2363908,Tchamba,94,1.4167,9.0333,77.0,0,3.47
346,5856516,‘Āhuimanu,61,-157.8378,21.4447,76.53,40,11.5
347,3664980,Boa Vista,88,-60.6733,2.8197,77.0,40,3.44
348,3451241,Rio Brilhante,54,-54.5464,-21.8019,60.75,1,5.84
349,2013406,Vidim,52,103.1106,56.4088,43.59,13,8.1
350,3379507,Bartica,100,-58.6167,6.4,75.2,75,4.61
351,2129513,Shimokizukuri,93,140.3861,40.8061,49.98,75,16.11
352,686090,Asău,60,26.4,46.4333,51.01,31,5.08
353,1278969,Along,22,94.7667,28.1667,95.32,4,1.97
354,525084,Mosal'sk,74,34.9817,54.4881,46.62,100,14.54
355,3386177,Trairi,92,-39.2689,-3.2778,74.25,87,5.01
356,5866063,Kenai,81,-151.2583,60.5544,42.51,1,12.66
357,3662761,Porto Walter,97,-72.7439,-8.2686,69.48,59,1.92
358,486015,Susanino,78,41.5872,58.1461,38.79,90,6.89
359,364027,Wagar,57,36.2032,16.1525,82.11,81,5.95
360,5395622,Sierra Madre,31,-118.0528,34.1617,72.64,4,2.08
361,2017979,Petropavlovka,44,105.3196,50.6114,45.95,88,3.31
362,2123814,Leningradskiy,84,178.4167,69.3833,24.1,92,17.13
363,2127202,Anadyr,74,177.4833,64.75,26.26,0,13.42
364,2028164,Deputatsky,88,139.9,69.3,24.06,99,4.43
365,4799622,Bluefield,94,-81.2223,37.2698,57.6,90,11.5
366,1608408,Narathiwat,66,101.75,6.3333,87.8,20,8.05
367,551846,Lagan,67,47.3707,45.3929,59.61,100,19.57
368,713504,Amvrosiyivka,79,38.4777,47.7935,50.86,100,10.58
369,3920736,Chimoré,89,-65.1333,-16.9833,64.9,0,1.21
370,556318,Insar,75,44.3738,53.8653,43.95,71,8.55
371,2033630,Xiongyue,39,122.1228,40.1774,53.11,99,7.4
372,3174050,Province of Mantua,96,10.7833,45.1667,57.69,95,1.01
373,5380437,Pacific Grove,76,-121.9166,36.6177,52.65,1,4.61
374,3336897,La Rioja,93,-2.5,42.25,45.88,40,8.05
375,5924351,Clyde River,100,-68.5914,70.4692,23.0,90,2.3
376,4034496,Fare,71,-151.0167,-16.7,81.28,100,2.53
377,5713376,Beaverton,39,-122.8037,45.4871,62.1,1,12.66
378,1519691,Sarkand,16,79.9186,45.41,83.48,3,7.87
379,5905393,Bonavista,87,-53.1147,48.6499,37.09,100,6.91
380,2016307,Solnechnyy,69,136.6319,50.7214,38.17,91,9.66
381,2097418,Finschhafen,72,147.8681,-6.6024,83.46,100,7.81
382,3832899,Viedma,61,-62.9967,-40.8135,65.66,96,18.59
383,1510689,Baykit,68,96.37,61.67,41.9,97,11.83
384,5859699,College,75,-147.8028,64.8569,38.64,75,8.05
385,1529376,Korla,11,86.1469,41.7597,79.95,0,3.18
386,889191,Karoi,89,29.6925,-16.8099,60.94,9,5.88
